std_name,StrainName,Reference,SRA,Clade,ecological_value,eco_cat1,eco_cat2,eco_cat3
XTRA_DEC,ZP633,Almeida et al. 2015,ERR752935,14. Mediterranean Oak,Quercus pyrenaica,Bark,Tree,Plant
XTRA_DED,ZP636,Almeida et al. 2015,ERR752936,14. Mediterranean Oak,Castanea sativa,Bark,Tree,Plant
XTRA_DEE,ZP560,Almeida et al. 2015,ERR752937,14. Mediterranean Oak,Quercus pyrenaica,Bark,Tree,Plant
XTRA_DEF,ZP568,Almeida et al. 2015,ERR752938,14. Mediterranean Oak,Quecus pyrenaica,Bark,Tree,Plant
XTRA_DEG,ZP565,Almeida et al. 2015,ERR752939,14. Mediterranean Oak,Castanea sativa,Bark,Tree,Plant
XTRA_DEH,ZP561,Almeida et al. 2015,ERR752940,14. Mediterranean Oak,Quercus pyrenaica,Bark,Tree,Plant
XTRA_DEI,ZP656,Almeida et al. 2015,ERR752941,39. Asian Oak,Quercus acuta,Bark,Tree,Plant
XTRA_DEJ,ZP653,Almeida et al. 2015,ERR752942,39. Asian Oak,Quercus acutissima,Bark,Tree,Plant
XTRA_DEK,ZP680,Almeida et al. 2015,ERR752943,39. Asian Oak,Quercus acutissima,Bark,Tree,Plant
XTRA_DEL,ZP649,Almeida et al. 2015,ERR752944,39. Asian Oak,Quercus acutissima,Bark,Tree,Plant
XTRA_DEM,ZP650,Almeida et al. 2015,ERR752945,39. Asian Oak,Quercus acutissima,Bark,Tree,Plant
XTRA_DEN,ZP654,Almeida et al. 2015,ERR752946,39. Asian Oak,Quercus acutissima,Bark,Tree,Plant
XTRA_DEO,ZP655,Almeida et al. 2015,ERR752947,39. Asian Oak,Quercus acuta,Bark,Tree,Plant
XTRA_DEP,ZP657,Almeida et al. 2015,ERR752948,39. Asian Oak,Quercus acuta,Bark,Tree,Plant
XTRA_DEQ,ZP658,Almeida et al. 2015,ERR752949,39. Asian Oak,Quercus acuta,Bark,Tree,Plant
XTRA_DER,ZP674,Almeida et al. 2015,ERR752950,39. Asian Oak,Quercus acutissima,Bark,Tree,Plant
XTRA_DES,EXF6719,Almeida et al. 2015,ERR754600,1. AU Wine 1,Wine must,Wine,Brewery,Food
XTRA_DET,DBVPG10100,Almeida et al. 2015,ERR754601,14. Mediterranean Oak,Quercus cerris,Bark,Tree,Plant
XTRA_DEU,SDO3s1,Almeida et al. 2015,ERR754602,36. North American Wild,Oak,NA,Tree,Plant
XTRA_DEV,SDO6s1,Almeida et al. 2015,ERR754603,36. North American Wild,Oak,NA,Tree,Plant
